est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M46712+P46712,121 In-Flight Catering LLC,45 Rason Road,Inwood,NY,11096,(718) 663-4612,2016-06-27,"Meat Processing, Poultry Processing",
M13561+P13561,165368 C. Corporation ,"5617 Hoover Street, Suite A",Houston,TX,77092,(713) 263-1944,2014-06-30,Meat Processing,Long Phung Food Products
M46724+P46724,1732 Meats LLC,6250 Baltimore Pike,Yeadon,PA,19050,(267) 879-7214,2015-09-08,"Meat Processing, Poultry Processing",
M7067+P7067,"1st Original Texas Chili Company, Inc.",3313 N. Jones Street,Fort Worth,TX,76106,(817) 626-0983,2003-11-28,Meat Processing,T.C. Foods; Texas Chili
M48225,290 West Bar & Grill,12013 HWY 290 West,Austin,TX,78737,(512) 963-8963,2016-11-01,Meat Processing,Afia Foods
M17530+P17530,3 Little Pigs LLC,625 South Main Street,Wilkes Barre,PA,18701,(570) 823-9778,2016-03-23,"Meat Processing, Poultry Processing",House of Bricks
M19035+P19035,3-A Enterprises,P.O. Box 592,Carroll,IA,51401,(712) 792-5909,1994-06-15,"Meat Processing, Poultry Processing",Party Time Fundraising
M45790,3282 Beaver Meadow Road LLC,3282 Beaver Meadow Road,Sharon,VT,5065,(802) 763-2333,2016-03-10,"Meat Processing, Meat Slaughter",Royalton Meats; Sharon Beef
M45377,"3D Meats, LLC",14740 E. Lincoln Way,Dalton,OH,44618,(330) 985-0311,2015-02-20,"Meat Processing, Meat Slaughter",
M22017+P22017+V22017,4 Frendz Meat Market,1342 Bridge St.,Clarkston,WA,99403,(509) 751-9888,2010-08-19,"Animal Foods Inspection, Meat Processing, Poultry Processing, Voluntary Processing - Meat",Southfork Sausage
M19789+P19789,4-L Processing,5428 FM 69,Como,TX,75431,(903) 629-3856,2016-07-25,"Meat Processing, Meat Slaughter",
M634,41 Market,W 5725 Birch Creek Road No 6,Menominee,MI,49858,(906) 863-3498,1987-04-02,Meat Processing,
M6561+P6561,412 Meat Processing Inc.,19690 Hwy 412 E.,Lexington,TN,38351,(731) 967-1411,2009-07-15,"Meat Processing, Meat Slaughter",Southern Natural Foods
M17077+P17077,458 1/2 South Broadway Meat Inc,458 1/2 South Broadway,Yonkers,NY,10705,(914) 968-2209,1993-01-09,"Meat Processing, Poultry Processing",European Meat Center
M7147+P7147+V7147,4G Meat Processing LLC,2501 Guinotte Avenue,Kansas City,MO,64120,(816) 241-4707,2014-06-09,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
P17395,50th State Poultry,98-715 Kuahao Place,Pearl City,HI,96782,(808) 845-5902,2008-04-29,Poultry Processing,
V45922,58 Place Seafood Inc.,58-51 Maspeth Avenue,Maspeth,NY,11378,(718) 366-6600,2016-07-22,Certification - Export,
M45743+P45743,5th Generation Adams Farm,15 Higley Adams Road,Wilmington,VT,5363,(802) 464-3762,2016-03-03,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",Adams Farm
M34814+P34814,"701 Foods, Inc.",1515 Hwy 20 South,Devils Lake,ND,58301,(701) 662-2309,2012-07-25,"Meat Processing, Poultry Processing",Flatlander Foods
M2136+P2136,"814 Americas, Inc.",814 Second Avenue,Elizabeth,NJ,7202,(908) 354-2674,2006-07-26,"Meat Processing, Poultry Processing",S Abuin Packing/814 Americas-Smithfield
M4501,86-17 Northern Blvd. Corp.,86-17 Northern Blvd.,Jackson Heights,NY,11372,(718) 779-4971,2002-08-28,Meat Processing,Despana Brand Foods
M21725+P21725,888 Food Company,2111 Chico Avenue,South El Monte,CA,91733,(626) 443-9888,2003-06-02,Meat Processing,
M34524+P34524,A & A Finest,5342 98th Street,Corona,NY,11368,(718) 271-8228,2013-05-16,"Meat Processing, Poultry Processing",A & A Gourmet
M20913+P20913,A & A Halal Distributors,5165 Forsyth Commerce Rd.,Orlando,FL,32807,(407) 282-3200,2007-03-09,"Meat Processing, Poultry Processing",
M40009+P40009,A & B Famous Gefilte Fish Inc.,209 McLean Blvd,Paterson,NJ,7504,(973) 278-4509,2016-03-14,"Meat Processing, Poultry Processing",First Choice Meat
M46867+P46867,A & G Food Service LLC,68 Oceanport Avenue,Little Silver,NJ,7739,(732) 558-1400,2015-02-19,"Meat Processing, Poultry Processing",
V34045,A & M Cold Storage,6000 South 35th Street,McAllen,TX,78503,(956) 686-3846,2006-04-27,"Certification - Export, Identification - Meat, Identification - Poultry",
M10203+P10203,"A & R Packing Co., Inc.",34165 Autry,Livonia,MI,48150,(313) 871-1830,2009-10-06,"Meat Processing, Poultry Processing",A & R Packing LLC
M31780+P31780,A & S Distributors,4921 Clautier Avenue,Salida,CA,95368,(209) 406-7888,2004-05-10,Meat Processing,Kamal Imports
M5889+P5889,A & S Produce Inc.,2939 Sunol,Vernon,CA,90023,(323) 260-5100,2005-11-27,"Meat Processing, Poultry Processing",Greenland Foods Co.
