geoid,county,st,pct_travel_60_min,pct_bach_higher,pct_masters_higher,med_hh_inc
0500000US01001,Autauga County,Alabama,5.630,23.230,9.747,51281
0500000US01003,Baldwin County,Alabama,7.966,28.985,9.724,50254
0500000US01005,Barbour County,Alabama,7.672,12.516,5.009,32964
0500000US01007,Bibb County,Alabama,9.198,10.647,4.594,38678
0500000US01009,Blount County,Alabama,16.741,12.891,4.273,45813
0500000US01011,Bullock County,Alabama,11.791,13.861,7.354,31938
0500000US01013,Butler County,Alabama,9.566,14.518,6.137,32229
0500000US01015,Calhoun County,Alabama,6.185,17.558,6.837,41703
0500000US01017,Chambers County,Alabama,5.819,11.586,4.027,34177
0500000US01019,Cherokee County,Alabama,9.314,13.761,5.861,36296
0500000US01021,Chilton County,Alabama,17.328,14.085,5.015,41627
0500000US01023,Choctaw County,Alabama,13.740,11.810,4.458,33536
0500000US01025,Clarke County,Alabama,7.751,12.944,4.536,32011
0500000US01027,Clay County,Alabama,16.382,9.586,3.797,35327
0500000US01029,Cleburne County,Alabama,13.970,12.063,5.144,38056
0500000US01031,Coffee County,Alabama,3.356,23.860,8.626,46729
0500000US01033,Colbert County,Alabama,7.153,18.583,7.272,40576
0500000US01035,Conecuh County,Alabama,11.099,8.220,3.728,24900
0500000US01037,Coosa County,Alabama,13.048,8.464,3.378,31212
0500000US01039,Covington County,Alabama,9.729,14.326,4.692,36444
0500000US01041,Crenshaw County,Alabama,12.820,14.286,4.284,36022
0500000US01043,Cullman County,Alabama,12.519,14.564,5.435,38971
0500000US01045,Dale County,Alabama,2.948,16.354,5.529,45028
0500000US01047,Dallas County,Alabama,9.513,14.017,5.857,27306
0500000US01049,DeKalb County,Alabama,5.646,11.180,4.893,38192
0500000US01051,Elmore County,Alabama,5.573,21.421,7.989,53555
0500000US01053,Escambia County,Alabama,8.265,12.539,4.164,32330
0500000US01055,Etowah County,Alabama,7.906,16.043,5.971,39220
0500000US01057,Fayette County,Alabama,15.502,14.116,5.715,34680
0500000US01059,Franklin County,Alabama,12.183,11.412,4.000,35372
0500000US01061,Geneva County,Alabama,6.738,12.349,3.038,36024
0500000US01063,Greene County,Alabama,12.328,10.940,3.174,20541
0500000US01065,Hale County,Alabama,11.352,13.874,3.963,32714
0500000US01067,Henry County,Alabama,7.372,16.523,7.099,41997
0500000US01069,Houston County,Alabama,3.457,20.589,7.294,41571
0500000US01071,Jackson County,Alabama,8.420,12.444,4.711,37745
0500000US01073,Jefferson County,Alabama,3.913,30.794,12.147,45610
0500000US01075,Lamar County,Alabama,6.673,11.500,4.652,35450
0500000US01077,Lauderdale County,Alabama,7.614,21.807,9.004,43125
0500000US01079,Lawrence County,Alabama,8.227,11.120,3.379,40003
0500000US01081,Lee County,Alabama,4.007,34.026,14.571,44570
0500000US01083,Limestone County,Alabama,5.201,23.241,7.991,49570
0500000US01085,Lowndes County,Alabama,6.424,14.143,3.942,25876
0500000US01087,Macon County,Alabama,4.196,19.335,8.415,30738
0500000US01089,Madison County,Alabama,2.099,39.368,14.638,57993
0500000US01091,Marengo County,Alabama,8.331,15.272,5.601,32042
0500000US01093,Marion County,Alabama,8.804,11.538,4.185,32299
0500000US01095,Marshall County,Alabama,7.449,16.623,5.887,38983
0500000US01097,Mobile County,Alabama,4.416,21.964,7.341,43809
0500000US01099,Monroe County,Alabama,9.793,12.244,4.198,27257
0500000US01101,Montgomery County,Alabama,2.191,31.115,11.866,44369
0500000US01103,Morgan County,Alabama,3.297,21.313,6.940,45751
0500000US01105,Perry County,Alabama,10.283,13.246,6.051,24537
0500000US01107,Pickens County,Alabama,11.837,9.892,3.187,30330
0500000US01109,Pike County,Alabama,4.753,23.388,9.110,32825
0500000US01111,Randolph County,Alabama,10.088,15.075,5.608,36924
0500000US01113,Russell County,Alabama,3.549,17.088,6.426,37049
0500000US01115,St. Clair County,Alabama,8.360,15.579,5.631,51859
0500000US01117,Shelby County,Alabama,7.318,40.760,13.812,70187
0500000US01119,Sumter County,Alabama,7.177,16.314,6.508,19501
0500000US01121,Talladega County,Alabama,9.614,13.139,4.977,35155
0500000US01123,Tallapoosa County,Alabama,7.673,17.334,6.002,39206
0500000US01125,Tuscaloosa County,Alabama,4.696,28.476,10.924,46565
0500000US01127,Walker County,Alabama,14.276,10.820,4.279,35843
0500000US01129,Washington County,Alabama,18.323,9.915,3.180,42811
