st,city,population,violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
Alabama,Abbeville,2610,9,76,24,50,2
Alabama,Adamsville,4414,25,330,38,278,14
Alabama,Addison,748,4,28,11,15,2
Alabama,Alabaster,31821,132,534,64,441,29
Alabama,Albertville,21534,30,723,197,462,64
Alabama,Alexander City,14854,221,652,145,474,33
Alabama,Aliceville,2367,6,22,3,17,2
Alabama,Andalusia,9096,73,528,85,425,18
Alabama,Anniston,22306,607,1645,601,970,74
Alabama,Arab,8330,43,516,106,385,25
Alabama,Ardmore,1378,8,41,10,31,0
Alabama,Argo,4214,1,36,14,18,4
Alabama,Ashford,2170,5,63,5,54,4
Alabama,Ashland,1972,16,52,10,41,1
Alabama,Ashville,2265,4,17,5,12,0
Alabama,Athens,25192,14,605,77,520,8
Alabama,Atmore,9960,70,324,64,244,16
Alabama,Attalla,5913,8,214,39,174,1
Alabama,Auburn,62005,134,1621,266,1271,84
Alabama,Bay Minette,9234,42,260,42,214,4
Alabama,Bayou La Batre,2621,36,239,48,169,22
Alabama,Bessemer,26828,475,2641,567,1869,205
Alabama,Birmingham,212291,3707,13499,3146,8838,1515
Alabama,Blountsville,1701,19,114,29,74,11
Alabama,Boaz,9740,107,464,80,356,28
Alabama,Brent,4866,16,105,21,81,3
Alabama,Brewton,5389,49,228,27,179,22
Alabama,Bridgeport,2362,12,10,1,8,1
Alabama,Brighton,2870,57,118,33,73,12
Alabama,Brookwood,1835,12,60,13,38,9
Alabama,Butler,1802,16,35,13,19,3
Alabama,Carbon Hill,1969,10,85,15,57,13
Alabama,Carrollton,982,2,14,3,8,3
Alabama,Cedar Bluff,1814,10,53,4,46,3
Alabama,Centre,3622,21,188,36,140,12
Alabama,Chatom,1224,6,25,12,11,2
Alabama,Chickasaw,5954,46,181,39,124,18
Alabama,Childersburg,5044,74,311,81,224,6
Alabama,Citronelle,3881,51,203,53,128,22
Alabama,Clanton,8751,61,521,59,446,16
Alabama,Clayton,2934,12,18,10,7,1
Alabama,Coaling,1664,16,55,14,39,2
Alabama,Columbiana,4223,13,107,25,81,1
Alabama,Cottonwood,1271,2,20,10,10,0
Alabama,Creola,1947,6,46,13,25,8
Alabama,Cullman,15229,33,568,72,466,30
Alabama,Dadeville,3176,29,94,14,72,8
Alabama,Daleville,5103,14,102,22,75,5
Alabama,Daphne,25087,32,529,76,437,16
Alabama,Dauphin Island,1244,3,44,9,34,1
Alabama,Decatur,55483,162,2366,469,1754,143
Alabama,Demopolis,7115,47,271,47,220,4
Alabama,Dora,1955,15,92,11,72,9
Alabama,Dothan,68997,274,2171,461,1609,101
Alabama,Double Springs,1065,8,19,7,9,3
Alabama,Douglas,760,3,50,11,33,6
Alabama,East Brewton,2413,20,42,10,30,2
Alabama,Eclectic,1018,4,53,10,42,1
Alabama,Elba,3879,22,109,30,72,7
Alabama,Enterprise,28028,90,967,173,733,61
Alabama,Eufaula,12710,61,428,103,304,21
Alabama,Evergreen,3731,46,175,42,125,8
Alabama,Fairhope,18821,39,518,85,413,20
Alabama,Falkville,1268,9,40,9,30,1
Alabama,Fayette,4500,9,73,17,48,8
Alabama,Flomaton,1411,18,65,16,43,6
Alabama,Florence,40433,169,1518,295,1147,76
Alabama,Foley,16644,51,633,84,538,11
Alabama,Fultondale,9044,8,140,19,117,4
Alabama,Gadsden,36148,364,2724,499,2048,177
Alabama,Gardendale,13690,64,626,58,547,21
Alabama,Geneva,4453,17,143,32,101,10
Alabama,Georgiana,1666,15,69,18,48,3
Alabama,Glencoe,5175,9,121,34,77,10
Alabama,Goodwater,1329,13,9,0,9,0
Alabama,Grant,904,1,53,19,32,2
Alabama,Greenville,7845,66,333,38,284,11
Alabama,Guin,2322,12,63,7,48,8
Alabama,Gulf Shores,11175,38,688,115,556,17
Alabama,Guntersville,8395,32,582,82,462,38
Alabama,Gurley,790,4,42,11,29,2
Alabama,Hackleburg,1483,0,16,1,12,3
Alabama,Haleyville,4111,19,213,45,158,10
Alabama,Hamilton,6765,12,124,20,96,8
Alabama,Hanceville,3269,15,121,28,77,16
Alabama,Hartford,2637,14,99,14,81,4
Alabama,Hartselle,14510,51,321,38,270,13
Alabama,Headland,4744,3,82,22,58,2
Alabama,Heflin,3525,4,16,5,9,2
Alabama,Helena,18109,21,126,11,107,8
Alabama,Hokes Bluff,4334,6,50,12,33,5
