response_id,office,flavor
1,Uptown,Chocolate
2,Midtown,Chocolate
3,Downtown,Strawberry
4,Uptown,Chocolate
5,Midtown,Chocolate
6,Downtown,Strawberry
7,Uptown,Chocolate
8,Midtown,Chocolate
9,Downtown,Strawberry
10,Downtown,Chocolate
11,Midtown,Chocolate
12,Downtown,Chocolate
13,Uptown,Vanilla
14,Uptown,Strawberry
15,Midtown,Chocolate
16,Downtown,Strawberry
17,Midtown,Chocolate
18,Downtown,Chocolate
19,Uptown,Vanilla
20,Midtown,Chocolate
21,Uptown,Strawberry
22,Uptown,Chocolate
23,Midtown,Chocolate
24,Downtown,Strawberry
25,Midtown,Chocolate
26,Midtown,Chocolate
27,Downtown,Strawberry
28,Uptown,Strawberry
29,Uptown,Chocolate
30,Uptown,Vanilla
31,Midtown,Chocolate
32,Downtown,Chocolate
33,Uptown,Vanilla
34,Uptown,Chocolate
35,Uptown,Vanilla
36,Midtown,Chocolate
37,Downtown,Strawberry
38,Uptown,Strawberry
39,Midtown,Chocolate
40,Downtown,Chocolate
41,Downtown,Chocolate
42,Midtown,Chocolate
43,Downtown,Strawberry
44,Uptown,Strawberry
45,Uptown,Chocolate
46,Midtown,Chocolate
47,Downtown,Strawberry
48,Uptown,Vanilla
49,Midtown,Chocolate
50,Downtown,Chocolate
51,Midtown,Chocolate
52,Downtown,Strawberry
53,Uptown,Chocolate
54,Uptown,Vanilla
55,Uptown,Strawberry
56,Midtown,Chocolate
57,Midtown,Chocolate
58,Downtown,Strawberry
59,Uptown,Chocolate
60,Midtown,Chocolate
61,Downtown,Strawberry
62,Midtown,Chocolate
63,Downtown,Strawberry
64,Uptown,Vanilla
65,Midtown,Chocolate
66,Downtown,Chocolate
67,Uptown,Chocolate
68,Midtown,Chocolate
69,Downtown,Strawberry
70,Downtown,Chocolate
71,Midtown,Chocolate
72,Uptown,Strawberry
73,Midtown,Chocolate
74,Downtown,Strawberry
75,Midtown,Chocolate
76,Downtown,Strawberry
77,Uptown,Strawberry
78,Uptown,Chocolate
79,Downtown,Strawberry
80,Uptown,Chocolate
81,Midtown,Vanilla
82,Downtown,Strawberry
83,Midtown,Vanilla
84,Downtown,Strawberry
85,Uptown,Vanilla
86,Uptown,Vanilla
87,Midtown,Chocolate
88,Downtown,Vanilla
89,Midtown,Chocolate
90,Downtown,Vanilla
91,Uptown,Chocolate
92,Uptown,Chocolate
93,Uptown,Vanilla
94,Midtown,Chocolate
95,Downtown,Vanilla
96,Uptown,Strawberry
97,Downtown,Vanilla
98,Uptown,Chocolate
99,Midtown,Vanilla
100,Downtown,Chocolate
101,Uptown,Vanilla
102,Uptown,Strawberry
103,Midtown,Vanilla
104,Downtown,Strawberry
105,Uptown,Chocolate
106,Uptown,Vanilla
107,Midtown,Chocolate
108,Downtown,Chocolate
109,Midtown,Vanilla
110,Downtown,Chocolate
111,Uptown,Vanilla
112,Uptown,Strawberry
113,Uptown,Vanilla
114,Midtown,Chocolate
115,Downtown,Vanilla
116,Uptown,Vanilla
117,Uptown,Strawberry
118,Midtown,Vanilla
119,Uptown,Strawberry
120,Midtown,Vanilla
121,Uptown,Vanilla
122,Midtown,Vanilla
123,Downtown,Chocolate
124,Uptown,Vanilla
125,Midtown,Chocolate
126,Downtown,Vanilla
127,Uptown,Chocolate
128,Midtown,Vanilla
129,Downtown,Chocolate
130,Uptown,Vanilla
131,Uptown,Strawberry
132,Midtown,Vanilla
133,Downtown,Chocolate
134,Downtown,Chocolate
135,Midtown,Vanilla
136,Downtown,Chocolate
137,Uptown,Vanilla
138,Midtown,Vanilla
139,Uptown,Vanilla
140,Midtown,Vanilla
141,Downtown,Strawberry
142,Downtown,Strawberry
143,Midtown,Chocolate
144,Downtown,Vanilla
145,Downtown,Strawberry
146,Midtown,Chocolate
147,Downtown,Vanilla
148,Uptown,Strawberry
149,Midtown,Chocolate
150,Downtown,Vanilla
151,Downtown,Strawberry
152,Midtown,Chocolate
153,Downtown,Chocolate
154,Midtown,Chocolate
155,Downtown,Vanilla
156,Uptown,Strawberry
157,Uptown,Chocolate
158,Midtown,Vanilla
159,Downtown,Strawberry
160,Downtown,Chocolate
161,Midtown,Vanilla
162,Downtown,Strawberry
163,Uptown,Chocolate
164,Midtown,Chocolate
165,Downtown,Vanilla
166,Downtown,Vanilla
167,Midtown,Vanilla
168,Uptown,Strawberry
169,Midtown,Chocolate
170,Downtown,Vanilla
171,Downtown,Strawberry
172,Midtown,Chocolate
173,Downtown,Vanilla
174,Midtown,Vanilla
175,Downtown,Vanilla
176,Downtown,Chocolate
177,Uptown,Vanilla
178,Midtown,Vanilla
179,Downtown,Chocolate
180,Downtown,Vanilla
181,Midtown,Vanilla
182,Downtown,Chocolate
183,Uptown,Chocolate
184,Midtown,Vanilla
185,Downtown,Chocolate
186,Downtown,Vanilla
187,Midtown,Vanilla
188,Downtown,Strawberry
189,Midtown,Vanilla
190,Downtown,Strawberry
191,Downtown,Strawberry
192,Uptown,Chocolate
193,Uptown,Vanilla
194,Midtown,Vanilla
195,Downtown,Strawberry
196,Downtown,Vanilla
197,Downtown,Strawberry
198,Uptown,Chocolate
199,Midtown,Chocolate
200,Downtown,Vanilla
