STATION_NAME,DATE,TMAX,TMIN
CHICAGO NORTHERLY ISLAND IL US,20160101,31,20
CHICAGO NORTHERLY ISLAND IL US,20160102,34,23
CHICAGO NORTHERLY ISLAND IL US,20160103,32,26
CHICAGO NORTHERLY ISLAND IL US,20160104,32,27
CHICAGO NORTHERLY ISLAND IL US,20160105,34,20
CHICAGO NORTHERLY ISLAND IL US,20160106,38,27
CHICAGO NORTHERLY ISLAND IL US,20160107,40,34
CHICAGO NORTHERLY ISLAND IL US,20160108,45,36
CHICAGO NORTHERLY ISLAND IL US,20160109,44,27
CHICAGO NORTHERLY ISLAND IL US,20160110,28,4
CHICAGO NORTHERLY ISLAND IL US,20160111,25,2
CHICAGO NORTHERLY ISLAND IL US,20160112,22,6
CHICAGO NORTHERLY ISLAND IL US,20160113,29,3
CHICAGO NORTHERLY ISLAND IL US,20160114,46,28
CHICAGO NORTHERLY ISLAND IL US,20160115,44,31
CHICAGO NORTHERLY ISLAND IL US,20160116,32,14
CHICAGO NORTHERLY ISLAND IL US,20160117,14,1
CHICAGO NORTHERLY ISLAND IL US,20160118,10,-2
CHICAGO NORTHERLY ISLAND IL US,20160119,19,3
CHICAGO NORTHERLY ISLAND IL US,20160120,25,15
CHICAGO NORTHERLY ISLAND IL US,20160121,28,18
CHICAGO NORTHERLY ISLAND IL US,20160122,31,24
CHICAGO NORTHERLY ISLAND IL US,20160123,33,26
CHICAGO NORTHERLY ISLAND IL US,20160124,36,25
CHICAGO NORTHERLY ISLAND IL US,20160125,43,29
CHICAGO NORTHERLY ISLAND IL US,20160126,39,27
CHICAGO NORTHERLY ISLAND IL US,20160127,34,26
CHICAGO NORTHERLY ISLAND IL US,20160128,40,30
CHICAGO NORTHERLY ISLAND IL US,20160129,37,23
CHICAGO NORTHERLY ISLAND IL US,20160130,49,36
CHICAGO NORTHERLY ISLAND IL US,20160131,49,36
CHICAGO NORTHERLY ISLAND IL US,20160201,42,32
CHICAGO NORTHERLY ISLAND IL US,20160202,39,33
CHICAGO NORTHERLY ISLAND IL US,20160203,39,29
CHICAGO NORTHERLY ISLAND IL US,20160204,33,22
CHICAGO NORTHERLY ISLAND IL US,20160205,34,28
CHICAGO NORTHERLY ISLAND IL US,20160206,42,27
CHICAGO NORTHERLY ISLAND IL US,20160207,45,36
CHICAGO NORTHERLY ISLAND IL US,20160208,36,23
CHICAGO NORTHERLY ISLAND IL US,20160209,23,16
CHICAGO NORTHERLY ISLAND IL US,20160210,19,12
CHICAGO NORTHERLY ISLAND IL US,20160211,22,11
CHICAGO NORTHERLY ISLAND IL US,20160212,24,10
CHICAGO NORTHERLY ISLAND IL US,20160213,19,5
CHICAGO NORTHERLY ISLAND IL US,20160214,19,13
CHICAGO NORTHERLY ISLAND IL US,20160215,29,18
CHICAGO NORTHERLY ISLAND IL US,20160216,32,26
CHICAGO NORTHERLY ISLAND IL US,20160217,32,26
CHICAGO NORTHERLY ISLAND IL US,20160218,40,25
CHICAGO NORTHERLY ISLAND IL US,20160219,63,40
CHICAGO NORTHERLY ISLAND IL US,20160220,58,43
CHICAGO NORTHERLY ISLAND IL US,20160221,44,33
CHICAGO NORTHERLY ISLAND IL US,20160222,39,30
CHICAGO NORTHERLY ISLAND IL US,20160223,39,31
CHICAGO NORTHERLY ISLAND IL US,20160224,36,31
CHICAGO NORTHERLY ISLAND IL US,20160225,35,32
CHICAGO NORTHERLY ISLAND IL US,20160226,34,29
CHICAGO NORTHERLY ISLAND IL US,20160227,55,29
CHICAGO NORTHERLY ISLAND IL US,20160228,63,37
CHICAGO NORTHERLY ISLAND IL US,20160229,52,29
CHICAGO NORTHERLY ISLAND IL US,20160301,32,21
CHICAGO NORTHERLY ISLAND IL US,20160302,35,18
CHICAGO NORTHERLY ISLAND IL US,20160303,32,28
CHICAGO NORTHERLY ISLAND IL US,20160304,36,27
CHICAGO NORTHERLY ISLAND IL US,20160305,38,28
CHICAGO NORTHERLY ISLAND IL US,20160306,52,35
CHICAGO NORTHERLY ISLAND IL US,20160307,61,47
CHICAGO NORTHERLY ISLAND IL US,20160308,70,58
CHICAGO NORTHERLY ISLAND IL US,20160309,64,48
CHICAGO NORTHERLY ISLAND IL US,20160310,48,38
CHICAGO NORTHERLY ISLAND IL US,20160311,44,36
CHICAGO NORTHERLY ISLAND IL US,20160312,46,36
CHICAGO NORTHERLY ISLAND IL US,20160313,45,40
CHICAGO NORTHERLY ISLAND IL US,20160314,46,38
CHICAGO NORTHERLY ISLAND IL US,20160315,50,39
CHICAGO NORTHERLY ISLAND IL US,20160316,57,47
CHICAGO NORTHERLY ISLAND IL US,20160317,56,44
CHICAGO NORTHERLY ISLAND IL US,20160318,46,36
CHICAGO NORTHERLY ISLAND IL US,20160319,41,35
CHICAGO NORTHERLY ISLAND IL US,20160320,41,34
CHICAGO NORTHERLY ISLAND IL US,20160321,47,34
CHICAGO NORTHERLY ISLAND IL US,20160322,66,40
CHICAGO NORTHERLY ISLAND IL US,20160323,43,38
CHICAGO NORTHERLY ISLAND IL US,20160324,42,31
CHICAGO NORTHERLY ISLAND IL US,20160325,39,31
CHICAGO NORTHERLY ISLAND IL US,20160326,44,36
CHICAGO NORTHERLY ISLAND IL US,20160327,66,40
CHICAGO NORTHERLY ISLAND IL US,20160328,46,39
CHICAGO NORTHERLY ISLAND IL US,20160329,47,38
CHICAGO NORTHERLY ISLAND IL US,20160330,61,44
CHICAGO NORTHERLY ISLAND IL US,20160331,68,40
CHICAGO NORTHERLY ISLAND IL US,20160401,49,38
CHICAGO NORTHERLY ISLAND IL US,20160402,41,32
CHICAGO NORTHERLY ISLAND IL US,20160403,72,31
CHICAGO NORTHERLY ISLAND IL US,20160404,38,30
CHICAGO NORTHERLY ISLAND IL US,20160405,44,31
CHICAGO NORTHERLY ISLAND IL US,20160406,50,42
CHICAGO NORTHERLY ISLAND IL US,20160407,43,34
CHICAGO NORTHERLY ISLAND IL US,20160408,41,30
CHICAGO NORTHERLY ISLAND IL US,20160409,34,25
CHICAGO NORTHERLY ISLAND IL US,20160410,51,33
CHICAGO NORTHERLY ISLAND IL US,20160411,51,38
CHICAGO NORTHERLY ISLAND IL US,20160412,41,36
CHICAGO NORTHERLY ISLAND IL US,20160413,47,38
CHICAGO NORTHERLY ISLAND IL US,20160414,51,40
CHICAGO NORTHERLY ISLAND IL US,20160415,54,42
CHICAGO NORTHERLY ISLAND IL US,20160416,60,46
CHICAGO NORTHERLY ISLAND IL US,20160417,64,49
CHICAGO NORTHERLY ISLAND IL US,20160418,65,46
CHICAGO NORTHERLY ISLAND IL US,20160419,51,43
CHICAGO NORTHERLY ISLAND IL US,20160420,65,47
CHICAGO NORTHERLY ISLAND IL US,20160421,63,51
CHICAGO NORTHERLY ISLAND IL US,20160422,58,41
CHICAGO NORTHERLY ISLAND IL US,20160423,50,41
CHICAGO NORTHERLY ISLAND IL US,20160424,70,45
CHICAGO NORTHERLY ISLAND IL US,20160425,82,47
CHICAGO NORTHERLY ISLAND IL US,20160426,47,41
CHICAGO NORTHERLY ISLAND IL US,20160427,49,42
CHICAGO NORTHERLY ISLAND IL US,20160428,46,43
CHICAGO NORTHERLY ISLAND IL US,20160429,46,41
CHICAGO NORTHERLY ISLAND IL US,20160430,46,42
CHICAGO NORTHERLY ISLAND IL US,20160501,47,42
CHICAGO NORTHERLY ISLAND IL US,20160502,51,43
CHICAGO NORTHERLY ISLAND IL US,20160503,65,45
CHICAGO NORTHERLY ISLAND IL US,20160504,59,42
CHICAGO NORTHERLY ISLAND IL US,20160505,51,41
CHICAGO NORTHERLY ISLAND IL US,20160506,82,48
CHICAGO NORTHERLY ISLAND IL US,20160507,72,47
CHICAGO NORTHERLY ISLAND IL US,20160508,63,46
CHICAGO NORTHERLY ISLAND IL US,20160509,53,48
CHICAGO NORTHERLY ISLAND IL US,20160510,58,49
CHICAGO NORTHERLY ISLAND IL US,20160511,58,48
CHICAGO NORTHERLY ISLAND IL US,20160512,69,51
CHICAGO NORTHERLY ISLAND IL US,20160513,66,45
CHICAGO NORTHERLY ISLAND IL US,20160514,47,43
CHICAGO NORTHERLY ISLAND IL US,20160515,54,42
CHICAGO NORTHERLY ISLAND IL US,20160516,68,48
CHICAGO NORTHERLY ISLAND IL US,20160517,58,46
CHICAGO NORTHERLY ISLAND IL US,20160518,55,47
CHICAGO NORTHERLY ISLAND IL US,20160519,60,46
CHICAGO NORTHERLY ISLAND IL US,20160520,60,51
CHICAGO NORTHERLY ISLAND IL US,20160521,68,53
CHICAGO NORTHERLY ISLAND IL US,20160522,71,51
CHICAGO NORTHERLY ISLAND IL US,20160523,69,52
CHICAGO NORTHERLY ISLAND IL US,20160524,87,65
CHICAGO NORTHERLY ISLAND IL US,20160525,79,58
