FMID,MarketName,street,city,County,State,zip,longitude,latitude,Organic
1012063, Caledonia Farmers Market Association - Danville,,Danville ,Caledonia,Vermont,05828,-72.140305,44.411013,Y
1011871, Stearns Homestead Farmers' Market,6975 Ridge Road,Parma ,Cuyahoga,Ohio,44130,-81.7285969,41.3751180,-
1009364,106 S. Main Street Farmers Market,106 S. Main Street,Six Mile,,South Carolina,29682,-82.8187,34.8042,-
1010691,10th Steet Community Farmers Market,10th Street and Poplar,Lamar ,Barton,Missouri,64759,-94.2746191,37.4956280,-
1002454,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939,-
1011100,12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.790709,36.118370,Y
1009845,125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.9482477,40.8089533,Y
1005586,12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.534460,39.742117,N
1008071,14&U Farmers' Market,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,-77.0320505,38.9169984,Y
1012710,14th & Kennedy Street Farmers Market,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,-77.0334486,38.9559783,N
1016782,175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,-73.938049,40.846354,N
1003877,17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044,-
1016784,17th Street Farmers Market,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,-77.428364,37.533850,-
1010968,18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.173431,39.940943,N
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.662538,41.864268,Y
1010376,18th Street Farmers Market,825 18th Street,Charleston,Coles,Illinois,61920,-88.163254,39.490737,-
1012790,19/27 Community Farmers Market,NE 7th Ave,Chiefland,Levy,Florida,32626,-82.8578732,29.4848541,-
1012158,21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,-122.1569875,47.7502397,Y
