STABR,FSCSKEY,LIBID,LIBNAME,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,TOTEXPCO,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,LOANTO,LOANFM,TOTPRO,TOTATTEN,GPTERMS,PITUSR,WIFISESS,YR_SUB
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,08,1,00,00,00,-151.8400068,59.7796042,02,122,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,2059,1,0,0,0,.68,.68,0,18993,2821,28927,,,,3021,0,4030,21282,0,0,0,12765,0,16843,0,258,0,4159,0,49,7,1377,5379,550,396,11607,1144,0,0,28,17,146,8,1675,0,2015
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,08,1,00,00,00,-149.876781,61.187677,02,020,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,NO,CO,MO,MA1,N,01/01/2013,12/31/2013,300549,1,4,0,20.6,29.1,78.9,10448481,56724,157386,10846031,3214218,2853883,6068101,700747,198422,1152280,10910542,0,1825000,0,1825000,0,481861,9773,28552,10496,63779,0,63,751,10208,942873,98871,119619,1886620,484429,112965,5359,2254,1435,68778,135,138689,0,2015
AK,AK0003,AK0003-002,ANDERSON VILLAGE LIBRARY,08,1,00,00,00,-149.1786346,64.3435982,02,068,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,209,1,0,0,0,.25,.5,1000,6300,0,10729,,,,2206,425,3508,11449,0,0,0,0,0,15304,0,48,0,1091,0,49,1,480,874,300,161,1092,501,0,0,0,7,16,4,480,0,2015
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,08,1,00,00,00,-161.8029566,60.7857552,02,050,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,NO,MJ,SO,CI1,N,07/01/2013,06/30/2014,6241,1,0,0,1,1,3,67600,6600,0,259000,167806,72679,240485,8295,1635,14801,261212,0,0,0,0,0,34115,165,434,0,2345,0,187,50,2912,44980,1200,1500,12347,1873,100,38,76,107,815,9,20000,0,2015
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,08,1,00,00,00,-149.818403,61.546612,02,170,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617635,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,12793,1,0,0,0,1,3,339574,6600,4979,351153,154145,119727,273872,21552,0,21552,347675,0,0,0,0,0,23810,9773,1813,10496,2623,0,50,52,2548,43285,3469,3878,59630,18330,4615,118,147,296,6316,22,11301,5148,2015
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,08,1,00,00,00,-148.757407,63.461051,02,068,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,182,1,0,0,0,1,1.5,4000,6600,7000,20240,,,,4846,0,5483,20720,0,0,0,0,0,14550,0,208,0,315,0,50,12,750,3000,380,170,5064,2755,0,20,50,27,169,1,700,500,2015
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,08,1,00,00,00,-152.2325806,57.6122291,02,150,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9074863022,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,48,1,0,0,0,0,.11,3000,25020,6560,78645,,,,4123,224,6148,78540,0,0,0,0,0,4893,40,246,0,630,0,49,27,720,1029,72,55,1118,590,0,0,0,53,388,11,436,200,2015
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,08,1,00,00,00,-162.7133916,55.206634,02,013,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,89,1,0,0,0,0,0,3300,18540,2642,74935,,,,2164,0,3938,71103,0,0,0,0,0,7033,5,191,0,3298,0,49,21,480,1600,50,105,1939,816,10,0,0,32,306,6,427,0,2015
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,08,1,00,00,00,-150.010519,60.487401,02,122,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,295,1,0,0,0,.1,.1,0,9787,5856,39799,,,,4788,0,5288,30060,0,0,0,0,0,3778,121,219,0,682,0,49,2,1092,3349,160,545,3210,1241,10,0,79,23,1005,4,355,250,2015
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,08,1,00,00,00,-145.766031,60.5479952,02,261,622 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,NO,CI,SO,CI1,N,01/01/2013,12/31/2013,2286,1,0,0,0,3.75,4.75,472653,9047,11615,508244,269032,109581,378613,9164,1500,11016,469985,0,1000000,0,1000000,0,20459,9773,350,10496,1328,0,50,32,2652,22918,972,2073,13370,3831,1382,0,295,188,3054,5,6671,4522,2015
