STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,TOTEXPCO,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO,VIDEO,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,LOANTO,LOANFM,TOTPRO,TOTATTEN,GPTERMS,PITUSR,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,72251 MILO FRITZ AVENUE,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,1772,1,0,0,0,1,1,7139,6350,1000,33280,,,,3228,479,4074,19964,0,0,0,0,0,13361,0,178,3189,49,8,1404,7851,1400,850,16764,1311,0,5,51,2094,5,2332,2010,08,1,00,00,15,-151.853479,59.78047,02,122
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,NO,CO,MO,MA1,N,01/01/2008,12/31/2008,290588,1,4,0,25,34.3,88.3,11379926,314535,160908,12451320,4027685,3254597,7282282,811507,7234,1081747,12414421,1044142,62409,928459,3322010,2296409,658412,9888,33880,47726,65,1337,12532,871036,219414,170686,1591657,613097,6643,7660,956,44297,121,326606,2010,08,1,00,00,00,-149.876714,61.18792,02,020
AK,AK0003,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,275,1,0,0,0,0.25,0.4,6320,6350,0,13370,,,,2839,0,3639,13512,0,0,0,0,0,16529,0,191,1310,49,9,480,1520,300,145,1865,577,0,0,10,50,7,600,2010,08,2,00,00,00,-149.178545,64.34357,02,068
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,0368,BETHEL,9075434516,NO,MJ,SO,CI1,N,07/01/2008,06/30/2009,5803,1,0,0,1,1,3.5,67600,6350,41669,304766,183104,93960,277064,27326,1718,34087,318932,0,0,0,0,0,38454,0,2442,1675,219,60,2458,18000,284,1360,13081,2531,92,141,178,2410,5,7904,2010,08,1,00,00,00,-161.760222,60.77014,02,050
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078926475,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,9749,1,0,0,0,1,3.75,251139,6350,1000,258489,125679,67218,192897,21441,0,21441,258460,0,0,0,0,0,22170,0,1603,1763,49,25,2568,36129,13081,2755,40817,22438,108,239,265,6305,9,11527,2010,08,1,00,00,00,-149.819317,61.55251,02,170
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,0068,DENALI,9077682372,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,200,1,0,0,0,0.38,0.76,4866,6350,6000,18950,,,,6038,0,6433,18904,0,0,0,0,0,11882,0,391,568,49,16,720,1940,320,172,3900,2005,25,55,22,93,2,650,2010,08,1,00,00,00,-148.677951,63.44362,02,068
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,48,1,0,0,0,0,0,3000,6350,335,9685,,,,5108,0,6140,9197,0,0,0,0,0,2987,0,321,799,49,21,567,448,50,44,257,45,0,0,42,159,2,182,2010,08,1,00,00,00,-152.491432,57.74737,02,150
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,84,1,0,0,0,0,0,2500,6350,0,8850,,,,1947,0,3745,8914,0,0,0,0,0,7182,0,478,3050,74,25,480,1400,112,189,1870,796,0,3,36,246,3,275,2010,08,1,00,00,00,-161.128461,55.7397,02,013
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,344,1,0,0,0,0,0,0,6350,1000,17526,,,,4736,0,6294,20939,0,0,0,0,0,3541,0,535,765,49,0,1080,3267,78,650,2007,465,0,64,108,1008,3,813,2010,08,1,00,00,00,-150.134689,60.49075,02,122
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,NO,CI,SO,CI1,N,01/01/2008,12/31/2008,2126,1,0,0,0,3.8,6.2,420834,6350,1000,435534,222820,86674,309494,12502,901,18003,426841,0,0,0,0,0,21791,0,621,1356,51,61,2408,25627,698,2428,14992,6000,0,466,135,1634,5,10477,2010,08,1,00,00,00,-145.766016,60.54801,02,261
