STATE,COUNTY,Geography,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009
01,001,"Autauga County, Alabama",43671,43266,35221,7473,194,200,13,165,405
01,003,"Baldwin County, Alabama",140415,138949,122366,14444,809,537,38,755,1466
01,005,"Barbour County, Alabama",29038,28826,14887,13451,131,84,8,265,212
01,007,"Bibb County, Alabama",20826,20719,15966,4624,49,17,2,61,107
01,009,"Blount County, Alabama",51024,50505,48512,606,250,71,12,1054,519
01,011,"Bullock County, Alabama",11714,11632,2958,8564,44,21,2,43,82
01,013,"Butler County, Alabama",21399,21315,12492,8732,45,35,0,11,84
01,015,"Calhoun County, Alabama",112249,111168,88537,20810,445,633,76,667,1081
01,017,"Chambers County, Alabama",36583,36374,22271,13943,49,68,0,43,209
01,019,"Cherokee County, Alabama",23988,23790,22268,1330,75,34,0,83,198
01,021,"Chilton County, Alabama",39593,39318,34330,4200,111,72,6,599,275
01,023,"Choctaw County, Alabama",15922,15855,8779,7027,25,7,0,17,67
01,025,"Clarke County, Alabama",27867,27731,15589,11989,62,45,1,45,136
01,027,"Clay County, Alabama",14254,14142,11776,2238,45,14,3,66,112
01,029,"Cleburne County, Alabama",14123,14014,13380,523,42,20,1,48,109
01,031,"Coffee County, Alabama",43615,42885,33631,8013,396,414,41,390,730
01,033,"Colbert County, Alabama",54984,54497,44825,9137,205,131,12,187,487
01,035,"Conecuh County, Alabama",14089,14005,7806,6136,28,16,7,12,84
01,037,"Coosa County, Alabama",12202,12095,7802,4172,39,5,1,76,107
01,039,"Covington County, Alabama",37631,37398,32436,4648,181,65,5,63,233
01,041,"Crenshaw County, Alabama",13665,13570,10088,3388,51,15,1,27,95
01,043,"Cullman County, Alabama",77483,76688,75011,743,290,140,27,477,795
01,045,"Dale County, Alabama",49129,48075,36541,10002,297,529,72,634,1054
01,047,"Dallas County, Alabama",46365,46110,16496,29332,50,160,5,67,255
01,049,"DeKalb County, Alabama",64452,63411,59652,1083,518,124,36,1998,1041
01,051,"Elmore County, Alabama",65874,65189,50737,13597,286,238,18,313,685
01,053,"Escambia County, Alabama",38440,38006,24754,11837,1157,94,10,154,434
01,055,"Etowah County, Alabama",103459,102496,85737,15191,345,432,36,755,963
01,057,"Fayette County, Alabama",18495,18400,16075,2207,38,28,2,50,95
01,059,"Franklin County, Alabama",31223,30924,28001,1314,103,34,31,1441,299
01,061,"Geneva County, Alabama",25764,25579,22442,2743,197,32,6,159,185
01,063,"Greene County, Alabama",9974,9947,1904,8013,12,8,0,10,27
01,065,"Hale County, Alabama",17185,17086,6844,10131,30,27,4,50,99
01,067,"Henry County, Alabama",16310,16189,10710,5268,34,10,4,163,121
01,069,"Houston County, Alabama",88787,87967,64886,21840,329,551,14,347,820
01,071,"Jackson County, Alabama",53926,52849,49552,2019,946,124,13,195,1077
01,073,"Jefferson County, Alabama",662047,656721,384639,260608,1408,5971,188,3907,5326
01,075,"Lamar County, Alabama",15904,15823,13816,1906,18,10,0,73,81
01,077,"Lauderdale County, Alabama",87966,87270,77743,8663,223,308,17,316,696
01,079,"Lawrence County, Alabama",34803,33732,27067,4648,1865,35,3,114,1071
01,081,"Lee County, Alabama",115092,114023,85247,26071,273,1875,25,532,1069
01,083,"Limestone County, Alabama",65676,65077,55029,8752,304,231,14,747,599
01,085,"Lowndes County, Alabama",13473,13419,3484,9885,15,16,3,16,54
01,087,"Macon County, Alabama",24105,23930,3365,20403,39,91,1,31,175
01,089,"Madison County, Alabama",276700,271482,199401,63025,2129,5140,158,1629,5218
01,091,"Marengo County, Alabama",22539,22432,10657,11655,19,41,3,57,107
01,093,"Marion County, Alabama",31214,30997,29579,1134,91,62,10,121,217
01,095,"Marshall County, Alabama",82231,81331,76791,1207,433,201,36,2663,900
01,097,"Mobile County, Alabama",399843,395675,252199,133465,2682,5628,101,1600,4168
01,099,"Monroe County, Alabama",24324,24133,14047,9747,236,70,2,31,191
01,101,"Montgomery County, Alabama",223510,221407,109180,108583,568,2217,72,787,2103
01,103,"Morgan County, Alabama",111064,109678,94485,12485,747,495,75,1391,1386
